Number,txt,S1,S2,S3,TITLE,CONTENT
147,未濟,3,3,6,住宿,住宿占之得吉卦，賓至如歸好門牆，水火既濟皆相合，剛柔相濟又何妨，重重拔薦好門牆，尋館占之得吉昌，世應兩爻皆相合，水火合剛柔並濟
148,謙,4,8,7,住宿,知君住宿有定奪，住宿己經有安排，吉神臨身可安逸，賓至如歸似錦羅，父母重重舉薦多，知君求館問如何，子孫持世多財力，賓主相投似錦羅
149,隨,5,2,4,住宿,住宿占卜夜空忙，官鬼運逢人為良，莫聽旁言快換房，值待黎明再主張，世應守空未為良，君來占館莫空忙，勸君莫聽旁人語，直待年末再主張
150,姤,6,1,5,住宿,君問住宿此間房，須知此館不安全，無奈官鬼有事端，捨此求別可安樂，君來問卜為身謀，求館須知不到頭，無奈主人性情異，不如舍此再他求
151,既濟,7,6,3,住宿,君占住宿勿憂心，只管安心住此房，清靜安全無煩事，賓主相投多福祿，君占尋館勿憂心，管取今年勝上春，賓主相投多福祿，定知要見大貴人
152,剝,8,7,8,住宿,住宿占卜有貴人，吉神扶持平安過，賓至如歸服務佳，清靜心安睡安穩，子孫持世旺財多，尋館占之有貴高，絳帳大開受業重，重重財喜拾青蚨
153,頤,1,7,4,告狀,占卦告狀詞有利，財旺生官福祿全，冬夏權多得力成，許君財喜勝平安，君占告狀卦逢官，財旺生官福祿全，多得外力冬夏成，財喜兩平安許君
154,恆,2,4,5,告狀,君告狀訴得理明，官司解運可得勝，造福貴人來相助，秋冬猶覺得瑞權，告狀事旺又升官，君問官司理勢全，妻得貴人來助力，覺秋冬猶得全心
155,家人,3,5,3,告狀,告狀占之枉勞心，所告案件不順情，訴狀證詞不夠力，小人證詞上法庭，告狀占之枉勞心，欲告須知不順情，財破文書官鬼付，不如休息免災星
156,晉,4,3,8,告狀,卦占詞訟順君心，告狀逢官不用驚，不必憂疑多進退，貴人得力有扶持，卦占詞訟遂君心，告狀逢官不吃驚，不必憂疑多進退，貴人得力有扶持
157,臨,5,8,2,告狀,君占告狀稱君心，官鬼扶持事可成，若還見官有刑勉，勸君和解免憂災，君占置貨稱君心，官鬼扶身事可成，若還見官有刑克，勸君和息免憂災
158,夬,6,2,1,告狀,告狀之事不稱心，官鬼擾礙告難成，更忌小人在暗動，不如忍耐且稍停，卦中無鬼事難成，告狀知君不稱心，更忌兩重財暗重，不如忍耐且稍停
159,訟,7,1,6,告狀,告狀占之得順情，文書官鬼兩相臨，事理可明免憂心，告狀終須理得知，告狀占之得順情，文書官鬼兩相臨，應來生世他生我，告狀終須理得知
160,蹇,8,6,7,告狀,告狀終須告得成，文書無位喜相臨，時逢戌巳文書定，定主官司理得成，告得成狀紙週全，文書相臨須細細，戌巳時文書逢定，官司得成要理直
161,睽,3,3,2,求子,君問求子有刑傷，將來須知子孫揚，卦中見沖又逢合，菱荷晚景吐秋香，中年生子有刑傷，目下須知當弄璋，卦見兩沖終有合，芰荷晚景有秋香
162,豐,1,4,3,求子,求子占之可順心，子臨福位子孫明，日後產麟麟得子，貴人化解可如願，子臨福位子孫明，求子占之許遂心，若是早年刑克過，如今不久產麒麟
163,觀,2,5,8,求子,卦占求子不如心，貴人不顯子難生，陰德先天有定數，解化辰午產貴子，卦占求子許稱心，福德重重子易生，數好先天應不謬，辰年午歲產麒麟
164,泰,4,8,1,求子,卦占求子可順心，否極終須有泰來，陰陽無破終須有，造福求神產貴胎，否極終須有泰來，數占求子遂心懷，六爻無破終須有，求神作喜產貴胎
165,困,5,2,6,求子,求子無子命中招，目前要求難順意，內外陰公風水礙，等待貴人栽仙桃，子遲子早命中招，且自安心不用焦，目下有求難遂意，海中高樹有仙桃
166,遯,6,1,7,求子,求子占之尚未然，刑傷剋害見孫兒，將來得子成家業，晚景安閒樂子賢，求子占之尚未然，刑傷克害見他年，將來得子成家業，晚景安閒樂自然
167,屯,7,6,4,求子,君占求子求卦靈，內陰外靈臨門入，夫婦無緣懷子孫，若無福蔭子休論，君占求子此卦真，父母親娘克子孫，要見芝蘭須妾有，如無福祉子休論
168,蠱,8,7,5,求子,求子占之卦未全，命中無子總徒然，花多子無皆由命，行善積德子息添，占卦求子未周全，六爻無鬼總徒然，命中註花多子少，為子息添德取福
169,大有,1,3,1,求財,求財應緩不宜急，宜守等待好時機，甲乙寅卯東南方，財神臨門貴可得，緩不濟急莫心憂，允時宜少定無多，有望方甲乙卯寅，卦爻註定斷無訛
170,師,2,8,6,求財,占問求財會順心，東西東方正向欣，雖然勞費盡心力，財利終得百千金，占問求財是稱心，東西路道正相應，勞力費心雖然饑，利息終得須萬金
171,咸,3,2,7,求財,求財問卦是時機，秋夏來臨不用猜，若是九流並雜術，許君財物兩相開，君占此卦問求財，不用猜秋夏來臨，九流雜術並若君，財物許君兩兆相
172,無妄,4,1,4,求財,占卦求財終有望，財神雙利兩重財，若逢三七十數內，自然方順稱君懷，無妄求財終有望，世高應下雨重財，若逢三七十數內，自然方遂君心懷
173,井,5,6,5,求財,求財喜得貴人強，財神臨門大吉昌，但是目前防有阻，遲遲方許遂心意，求財喜得貴人強，世應相收大吉昌，但是目前防有阻，遲遲方許遂心腸
174,賁,6,7,3,求財,卦占求財要注意，兩人合作相意願，亥子丑臨方可旺，一人主事有差疑，卦占求財欲解疑，兩人合意自相宜，亥子丑臨方可旺，一人主事有差遲
175,豫,7,4,8,求財,求財得卦喜生財，任往東西不必猜，若是本微求利益，貴人相教得將來，求財卜卦喜生財，任往東西不必猜，若是本微求利益，管教白子得將來
176,中孚,8,5,2,求財,求財占卦過財星，事在順心可取圈，出入貴人而得力，重重財喜有相扶，占卦求財遇財孚，管教經營遂取圖，出入貴人因得力，財喜重重有友扶
178,革,1,2,3,求職,求職占之百事昌，吉神臨門福神降，春冬能尋好工作，夏秋差有所阻礙，鬼爻持世福神祥，謀事占之百事昌，春季冬時方可就，夏秋占此不相當
179,否,2,1,8,求職,吉神求職順心意，求職無妨慢慢來，最喜逢貴稱心歡，更遇高人笑開懷，財爻持世進妻財，謀事無妨慢慢來，最喜星辰應在意，更過高人百事宜
180,節,3,6,2,求職,若問求職有困難，意氣相投方可成，夏秋二季較難順，直到冬春方可全，若問謀事都作難，義氣相投方可參，夏秋二季休提起，直到冬春方可全
181,大畜,4,7,1,求職,求職占之大吉昌，官鬼持世小人防，時逢春夏多剝雜，定在秋冬財見高，謀事占之大吉昌，鬼爻持世小人防，時逢春夏多剝離，定在秋冬財見高
182,解,5,4,6,求職,卦占求職有蹊蹺，義氣相投才可交，若能誠心臨門戶，寬心財利曰日招，卦占謀事甚蹊蹺，義氣相投財可交，若能遂意臨門戶，管教財利日日招
183,漸,6,5,7,求職,君占求職問如何，憂慮煩惱不適宜，卦內妻財全不見，轉運修持樂欣欣，君占訴事問如何，官鬼重重受折磨，卦內妻財全不見，時來方唱樂欣歌
184,噬嗑,7,3,4,求職,君卜求職事多礙，西北星辰作禍害，可請親友相扶助，寬得貴人來相佐，君問謀事掛心懷，西北星辰作禍災，只請親友驅逐去，貴人得喜不為難
185,升,8,8,5,求職,占卦求職無不宜，只因損氣費精神，自有好友來助力，成全之後得順心，謀事無妨勿掛心，損精費神氣不明，好友自會來拳助，得遂心後成全之
177,泰,7,8,1,求醫,求醫治病不愁凶，福德臨門定有功，等待交冬方可脫，好將禮物謝郎中，求醫治病不愁凶，福德臨醫定有功，只待交冬方可脫，好將禮物謝郎中
186,遯,1,1,7,求醫,求醫神秘華陀現，久久未見病災憂，內外陰神救星臨，甲寅春木救真人，縱有名良醫國手，淹淹未見退災憂，若逢應位來生世，甲寅之日救星臨
187,屯,2,6,4,求醫,求醫難醫業障深，福不來良藥不靈，藥無緣內外陰礙，再逢華陀也難寧，醫憑福德可持身，積福之家藥靈扶，楚楚服藥多無緣，再逢扁鵲也難成
188,蠱,3,7,5,求醫,求醫無效且慢醫，病魔纏身有蹊蹺，淹淹疾病遲遲癒，去求神醫無神藥，醫藥無蹤且慢醫，鬼臨世位有蹊蹺，淹淹疾病遲遲愈，求來神藥不扶持
189,豐,4,4,3,求醫,求卜醫病病無妨，可有靈丹及藥良，內外陰神礙始信，寅申已亥保安康，醫來克病病無妨，可有靈丹即便良，始信仙傳醫國手，寅申巳亥保安康
190,觀,5,5,8,求醫,求醫卦問藥無助，健康平平病不凶，源源福來自然癒，造福廷年益壽長，迎醫行世兩利同，柔位平平病不凶，觀我終身君子道，須知不藥自然通
191,睽,6,3,2,求醫,卜問求醫病痛急，外陰公礙不須疑，得造福德延年壽，必遇良醫癒可期，急占忙忙蔔請醫，應來生世不須疑，持身福德醫長致，必遇良醫愈有期
192,困,8,2,6,求醫,君卜欲求醫欠靈，外陰冤親病源因，前因後業生差怨，服藥如何去病源，君欲求醫卦欠靈，病來生世病源深，當初不禱生嗟怨，服藥如何去病根
193,中孚,1,5,2,見貴,拜見貴人正當時，喜氣貴人長上提，但防小人意外傷，名利雙收可平安，君占見貴事如何，一見應知喜氣多，多利重重終有望，先天神數不差訛
194,大有,2,3,1,見貴,見貴卜須苦託幫，不必憂疑可順心，貴人引薦不必疑，春夏兩季可如意，見貴還須苦托人，鬼爻臨印要勞心，應來生世他生我，不必憂疑許遂心
195,師,3,8,6,見貴,貴工作諸事難君，占長官未及昌選，定亥卯方和合過，遇此方知空自忙，世克應爻諸事難，君占見貴苦心煩，必交亥卯方和合，遇此方知空白忙
196,咸,4,2,7,見貴,見貴占之確有緣，他來生我我相生，重重提拔多吉利，情意相投利益多，見喜占之卻有緣，應來生世世相生，重重薦拔多吉利，情意相投笑語喧
197,無妄,5,1,4,見貴,卦占見貴十分全，出入求榮果有緣，魚水相投多吻合，東成西就益財源，卦占見貴十分全，出入求榮果有緣，魚水相投多契合，東成西就益財源
198,井,6,6,5,見貴,見貴占之樂事憂，財星貴人喜相合，福祿重重無破定，更逢春水樣春波，財爻持世喜相投，見貴占之樂事憂，福祿重重無破定，更逢春水漾春波
199,賁,7,7,3,見貴,見貴占之運不如，前途切莫枉人握，縱然見面無利益，何必用心守此珠，見貴占之運不如，功名切莫意躊躇，縱然見面無些利，何必勞勞守此株
200,豫,8,4,8,見貴,見貴占卜心猶豫，決心下意又恐遲，見貴終希有助利，不如不見免奔馳，收解錢糧頗稱心，貴人相助必如情，見大利貴友仁義，如見不如士三日
201,升,1,8,5,走失,占卜走失重重現，終就走失會轉頭，壬癸亥子終有信，何必著急心煩憂，世高應下重重見，走失終須得轉頭，癸亥子丑終有信，何必著急去追尋
202,革,2,2,3,走失,走失家人在北方，細心查察不須忙，秋冬占卦難尋覓，秋夏交臨定返家，走失家人在北方，細心察訪不須忙，秋冬占此難尋覓，春夏交臨定返鄉
203,否,3,1,8,走失,占問走失急找尋，自有鄰人報佳音，亥卯未臨方有訊，眼前不見心莫嗔，家人走失定須尋，鄰人報信來貴人，有聲響亥卯未臨，莫生嗔目前不驚
204,節,4,6,2,走失,君問卜走失之事，旁人擾惑出家門，事當節制多不疑，順順追尋猶可獲，走失家人來問卜，事當節但多不作，旁人啜哄出家門，遂遂追尋尤可捉
205,大畜,5,7,1,走失,卦卜走失不必尋，吉神未現枉勞神，東南方位相安樂，細訪從容報佳音，逃去家人不必尋，子孫未顯枉勞神，東南方上相安樂，細訪從容報好音
206,解,6,4,6,走失,人丁走失無定期，緣盡無緣難有情，命運騫時休妄想，心寧通達不須言，人丁走失相先天，雨下無情難再連，命運蹇時休妄想，百凡通達不須言
207,漸,7,5,7,走失,占人走失急難尋，春冬走失無蹤跡，只有東南南方尋，要知消息傳在春，人丁走失急難尋，卯戌占親莫識音，只在東南方上去，要知消息轉來春
208,噬嗑,8,3,4,走失,走失人畜無憂慮，走失東西定轉頭，目下有人傳消息，近水傍山聽緣由，財爻持世憂慮無，轉頭東西定走失，有小人傳信莫信，水山旁聽緣大人
209,咸,1,2,7,身體,身體疾病貴人醫，內外陰礙願未還，庚辛亥子日秋冬，身體可平安痊癒，卦占疾病數無妨，福德天星兩字強，亥子庚辛全愈好，五行有救壽綿長
210,無妄,2,1,4,身體,病症犯內外陰公，身體有救免憂慮，時逢卯酉貴人臨，造福祈神莫再遲，占病星辰命犯之，五行有救免憂虞，時逢卯酉災星退，作福祁神莫待遲
211,井,3,6,5,身體,君身體疾病何妨，內外陰煞星辰見，造福祈神陰煞退，庚申方可見安氣，君占疾病有何妨，輕重星辰相見傷，作福祈神三煞退，庚申方許見安康
212,賁,4,7,3,身體,身體占之宜保身，傷寒病痛總難期，內外陰煞貴人解，全仗貴人早日康，病犯星辰宜保之，傷寒時熱總難期，平安藥餌多多服，全仗神藥有扶持
213,豫,5,4,8,身體,君占身體是無妨，福德天醫不吉祥，求神發願並造福，遲遲方許得安康，君占疾病事無妨，福德天醫不順祥，可去求神並作福，遲遲方許得安康
214,中孚,6,5,2,身體,君為身體病擔憂，官鬼病重令人憂，臨寅午戍病漸退，發願造運平安過，君因目下病擔憂，世應逢官不必求，寅午戌亥方漸退，神前祁保可無愁
215,大有,7,3,1,身體,君占身體陰公病，五臟難安四肢疼，內外陰煞臨門入，查明因由定安寧，君占疾病問神明，四肢難安節骨疼，家內福神並宅鬼，三牲俱獻定安寧
216,師,8,8,6,身體,身體災星煞不輕，家內外陰入門臨，災星雖犯事不難，求醫貴人助安寧，命犯災星禍不輕，傷寒吐瀉腹中疼，無難事不懼災星，速即求神可保寧
217,無妄,1,1,4,取討,取討有小人阻礙，秋冬兩季討無財，夏春取討有所得，但還是不能還清，求物求財先覺難，爻中財盡始相還，秋冬初討無財物，夏季春時不耐煩
218,井,2,6,5,取討,取討資財此卦靈，托中求取事難成，雖是月前多阻隔，遲遲方許有佳音，資財討取卦最靈，求取托事成局險，月前阻礙須等待，有佳音遲遲方許
219,賁,3,7,3,取討,欲作討取不用疑，官鬼上卦最有利，當在目下須做速，遲遲又恐不得濟，財初上卦最為奇，欲去取討不必疑，即在目下須作速，遲遲又恐不得奇
220,豫,4,4,8,取討,取討資財兩見之，只宜急速不移遲，三分財氣時方許，七分財氣需貴人，取討資財兩見之，只宜急速不宜遲，三分財氣時方許，七分財氣尚遲遲
310,中孚,5,5,2,取討,占問討取事可成，從今財物自然增，求謀順意無攔阻，申子辰日見祥正，占問討取事遂心，從今財物自然增，求謀遂意無攔阻，申子辰日見祥正
311,大有,6,3,1,取討,取討財物未順心，虛名虛利久沈沈，癡心指望圓前進，待等運到鐵成金，虛名虛利久沉沉，取討財物未遂心，癡心指望圖前進，待等運動鐵成金
312,師,7,8,6,取討,取討財物有困難，有如雲煙目下過，還須托人方可遂，途中勿聽小人言，應高父母喜相逢，取討財物目下過，還須托人方可遂，途中休聽小人言
313,咸,8,2,7,取討,取討財物實可為，卦中喜見兩財利，七分財氣重重見，管教庚寅來得利，卦中喜見兩重財，取討之時實美哉，七分財氣重重見，管教更寅得利來
222,解,1,4,6,夜夢,夜夢凶兆不需疑，名聲財利事不濟，家道人丁有驚恐，意外造運福自來，君逢夜夢不相疑，事不順心傷名利，人丁家道六畜驚，時來運到蒙魂齊
223,漸,2,5,7,夜夢,夜夢吉凶卦不祥，預防意外有之災，三思謹慎如神助，凡事不貪得心安，夜夢蹊蹺總不祥，須防有釁起蕭牆，謹慎三思靈光現，凡事饒人得久長
224,噬嗑,3,3,4,夜夢,夜夢卦出惡連連，許多心事煩心機，全虧自己元辰旺，直到春來百事宜，夢寐之間作鬼逑，許多心事累心機，星辰旺自己全真，春來百事宜直到
225,升,4,8,5,夜夢,夜夢顛倒不必憂，只因多利在心頭，紛紛人事難同願，待到春來始得求，夜夢顛倒不必憂，只因多利在心頭，紛紛人事難同願，待到春來始遂求
226,革,5,2,3,夜夢,夜夢顛倒不必憂，五鬼劫財意外災，一時謹慎無煩惱，貴人自在得清閒，官鬼妻財兩事周，蒙魂顛倒不須憂，一時謹慎無煩惱，困守清貧可自由
227,否,6,1,8,夜夢,夜夢吉凶事難成，家不成兮業不就，精神虛弱休囚強，修造福德身康寧，家不成兮業不就，夢魂顛倒成難剖，三年後運與交成，利祿兼優齊相湊
228,節,7,6,2,夜夢,夜夢吉星未稱懷，家中小口要防災，是非口舌須謹慎，破費錢財轉福來，夢寐占之未稱懷，家中小口要防災，是非口舌須謹慎，破費錢財轉福來
229,大畜,8,7,1,夜夢,夜夢顛倒運不足，只因心事亂如麻，若然遇事多加謹，南北福神定不差，日夜顛倒夢不醒，全因心亂不平如，遇事需謹慎為上，高臥南窗南北行
230,蒙,1,7,6,官運,求官占卦官運昌，財旺生官福祿饒，秋令冬時得好缺，親榮妻貴樂家門，求官占此卦為高，福與祿財旺生官，好官道秋令冬時，樂滔滔妻貴顯親
231,小過,2,4,7,官運,問卜官運可求官，百里千程得逐緣，貴人轉運價更高，他日時地姓名傳，鬼爻持世可求官，得遂緣百里鵬程，舟楫奇才因價重，管教時地姓名傳
232,益,3,5,4,官運,官運最忌劫財星，目下應知難稱心，財破官暗先忍住，待交冬令官可臨，求官最忌弟兄興，目下應知未稱心，財破文書官鬼滅，滅交冬令始臨民
233,鼎,4,3,5,官運,官運占此卦為奇，官鬼印星兩見之，木腳草頭人動力，夏秋兩季心意成，求官占此卦為奇，官鬼文書兩見之，木腳草頭人動力，夏秋兩季遂心機
234,明夷,5,8,3,官運,官運未能順君意，秋冬之季官運暗，春夏兩季猶可通，貴人助官運亨通，求官未許遂君懷，貪合之官亦難諧，春夏兩季猶可勝，還得貴人好商裁
235,萃,6,2,8,官運,求卦官運喜相生，官鬼明亮來生助，夏季春時任君意，秋冬遲延欠如心，鬼爻臨應喜相生，此卦求官必稱心，夏季春時隨君意，秋冬略略欠如心
236,履,7,1,2,官運,問官運應可眭門，貴顯秋冬事可安，貴人逢達可相安，只恐夏春多有阻，文書臨應可求官，要在秋冬謀始安，只恐夏春多有阻，必須時至可相安
237,需,8,6,1,官運,卜官運春夏可喜，若到秋冬防有傷，月缺自然有盈日，片雲暫掩亦無妨，春夏求官喜洋洋，秋冬有傷須防範，日盈月缺順自然，無妨半片烏雲掩
238,未濟,1,3,6,放賬,放款時機兩相宜，夏秋得意無煩惱，日後小心有心人，任君為之不用疑，此卦占來防賬宜，先兵後緩不差池，夏秋得意無煩惱，步步為之不必疑
239,謙,2,8,7,放賬,放款財利不得時，雙劫財源有猜疑，官鬼神表面降臨，只恐將來未必然，放帳應知要賺錢，兩重兄弟有些嫌，子孫雖是來臨世，只恐將來未必然
240,隨,3,2,4,放賬,放款應知事有虧，不如緩慢得便宜，小人官鬼財不還，凡事三思要見機，放帳應知事有虧，不如不放得便宜，應高世下人強我，見機要凡事三思
241,姤,4,1,5,放賬,求占放款不為奇，三思再想不可為，若是春間還有利，夏秋冬季有是非，求占放帳不為奇，三思再思不可為，若是春間還有利，夏秋冬季有是非
242,既濟,5,6,3,放賬,放帳占之必有收，財官鬼變主憂愁，活鬼旺動小人昌，算本還頭莫妄求，放帳占之必有收，財爻鬼變主憂愁，弟兄兩見財無旺，算本還頭莫妄求
243,剝,6,7,8,放賬,放款占之利息有，官鬼持世旺財源，如遇春夏猶難就，若到秋冬保事成，子孫持世旺財源，放帳占之利息全，如遇春夏猶難就，若到秋冬保得成
244,歸妹,7,4,2,放賬,放款求財無阻礙，官鬼無傷可利財，但逢春夏平平過，秋來冬至有利歸，放帳求財問卜來，卦爻世應可生財，如逢夏春平平過，秋末冬初有利歸
245,小畜,8,5,1,放賬,放帳出借不周全，官鬼臨我旺劫煞，將來枉費求財利，何不安心且待秋，占之放帳收不圓，只應世位旺文書，求名求利莫費力，待秋入冬心且安
246,姤,1,1,5,姻緣,姻緣未成天已定，享福難偕老死別，反覆分離不定期，造福姻緣得雙全，招婿未成來問卜，誰知好事多反復，應來生世得成全，福祿優然終分宿
247,既濟,2,6,3,姻緣,卦占姻緣最為良，財喜貨重福祿強，夫婦相隨多福壽，興家立業好呈祥，招婿占卦為良善，福祿強財喜重重，福壽夫婦多和諧，立業興家吉祥雲
248,剝,3,7,8,姻緣,姻緣占之緣最佳，官財子祿定不差，將來可婚成家計，夫唱婦隨實可佳，招婿占之事更佳，妻財子祿實堪誇，將來得此成家計，數蔔先天定不差
249,歸妹,4,4,2,姻緣,卦占姻緣未堪誇，欲結婚內陰公縳，若是今愛勉強結，日後方知有怨言，卦占歸妹未堪誇，欲占招婿有參差，若是今日圖容易，久後方知有怨嗟
250,小畜,5,5,1,姻緣,姻緣未現枉費心，月老無力救有情，姻緣應在貴人臨，但請官鬼放太平，招婿占之枉費心，子孫受克已無情，若還應重龍子選，方許成家立太平
251,未濟,6,3,6,姻緣,女問姻緣得好緣，吉星婚姻門庭開，未緣之中終有緣，晚年有靠福祿昌，招婿占之得乾爻，福祿妻財兩見交，未濟之中終有濟，晚年有靠此為高
252,謙,7,8,7,姻緣,姻緣占之卦甚宜，紅線姻緣有助礙，謙平受益生利祿，親者為媒不必疑，招婿占之卦甚宜，子孫持世有扶持，謙平受益生利祿，親者為媒不必疑
253,隨,8,2,4,姻緣,姻緣感情有躊躇，官鬼有礙無定時，陰錯陽差忙裏過，不如別選且相宜，卦中占婚有躊躇，應位高兮世位低，凡事皆因忙裏過，不如別選且相宜
254,兌澤,1,2,2,洽約,洽約會商恐難成，春夏無利更多憂，旦逢庚辛兩秋冬，誠心相約事可成，君占會恐無成事，義氣相投事可通，若在秋冬方可望，如逢春夏事多憂
255,乾天,2,1,1,洽約,洽約占卜卦最宜，朋友重重兄弟齊，快速邀約保全美，庚辛中酉得全財，會事占之卦最宜，朋友重重兄弟齊，作速去邀保全美，庚申辛酉得全財
256,坎水,3,6,6,洽約,君問洽約有妨礙，事未相投不要忙，再逢官鬼來剋動，寅申已亥再嘗試，君來問會卦無妨，事未相投不要忙，再忌土煞來克動，寅申巳亥百事昌
257,艮山,4,7,7,洽約,洽約來占不須憂，貴人扶持必無愁，日逢已午自成就，戊戌庚申可預期，會事來占不用憂，福神拱照必無愁，日逢巳午方成就，戊戌寅申可遇頭
258,震雷,5,4,4,洽約,洽約不安事有然，福神不來事難全，但是目前難兩全，多方祈求共相連，福神不遂事難全，同會不安事有然，但是目前難就急，可交同氣共相連
259,巽風,6,5,5,洽約,君占洽約會如何，陰陽差錯未分明，意見綿綿事難成，如逢子午得周全，君占會事可如何，官鬼星明印位多，雖是綿綿難成聚，如逢子午得周全
260,離火,7,3,3,洽約,君問洽約會纏綿，無奈星辰全不然，莫讓官鬼將事算，破費財務又刁難，君來問會事纏綿，無奈星辰信不然，莫被小人將事算，破費財物又熬煎
261,坤地,8,8,8,洽約,君卜洽約莫憂心，成事貴人好友明，財旺重重無欠缺，七分財喜自然成，洽約君卜心莫憂，山人老師劉衿杉，成事學士張宇翔，建財自然喜雙成
262,損,1,7,2,音信,音信巳午未夏季，擔憂著急是不用，六親骨肉皆平安，免得家中望眼穿，家信來時應已午，六親骨肉喜平安，勸君急整歸家計，家中望眼穿門堂
263,大壯,2,4,1,音信,音訊遲遲未見來，須逢子午一音開，消息萬事皆安穩，不必憂疑且放懷，問信重重未見來，要逢子午一音開，家中萬事皆安穩，不必憂疑且放懷
264,渙,3,5,6,音信,音訊重重喜見之，上天相助有文書，亥子丑到音信到，不需愁悶其人知，弟兄持世有文書，家信重重喜見之，亥子未交家信至，不須愁悶其人知
265,旅,4,3,7,音信,音信深藏大有疑，親朋傳信未得宜，夏秋方許知端倪，當下忍耐莫心急，家信深藏大有疑，親朋傳信未為宜，夏秋方許知端的，目下還當忍耐些
266,復,5,8,4,音信,卦占信音阻隔稀，心急如焚欲見面，望穿秋水莫憾遺，春初夏末是歸期，家鄉阻隔信音稀，眼望穿兒意莫遺，目下須知當見面，春初夏末是歸期
267,大過,6,2,5,音信,音信遲遲未見來，要逢子午佳音開，家內皆無安穩事，盼望時時願早來，家信遲遲未見來，要逢子午一音開，宅中皆無安穩事，盼望時時願早來
268,同人,7,1,3,音信,君占音信事如何，官鬼文書音信無，秋季之中猶可望，春夏兩季孔全無，君占家內信如何，官鬼文書音信無，秋季之中猶可望，春淹夏滯恐全無
269,比,8,6,8,音信,卜問音信有阻隔，官鬼降臨文書剋，春夏之季方有信，秋冬寬耐要遲遲，財多臨應克文書，家信途中有阻隔，春夏即有信免憂，秋冬忍耐要延時
270,旅,1,3,7,風水,墳塋風水不為佳，無情官司口舌重，坑裂破子孫不順，速尋龍穴好安葬，龍脈墳塋有差池，定主無情不必誇，左右有坑還有破，別尋求巽壽榮華
271,復,2,8,4,風水,君占風水可安寧，來龍左右最為奇，財福興隆各發達，人丁強旺家門興，君占風水主安寧，奇龍左右來得運，發達財福興隆客，強壯人丁樂昇平
272,大過,3,2,5,風水,風水占之大吉昌，貴人顯起最吉祥，左右龍虎皆擁護，名堂高闊功名揚，世高應下最為強，風水占之大吉昌，皆護財左龍右虎，文章高明明堂寬
273,同人,4,1,3,風水,祖先風水官鬼臨，有水無風意不寧，雖有財氣不藏聚，人丁難安利平平，祖宗墳墓鬼爻臨，有水無風意不寧，雖有財星不藏聚，人丁可許利平平
274,比,5,6,8,風水,君問風水事非宜，前有空嶇後有崎，辰已乾龍方算美，其餘山向不為奇，君占風水事非宜，前有空嶇後有崎，辰巳乾龍方算美，其餘山向不為奇
275,損,6,7,2,風水,君占風水並無憂，乾坤龍虎兩相迎，吉圓山向是有情，子孫永保福錦長，君占風水並無憂，龍虎相迎合巽乾，山向有情兼大利，子孫永保福綿長
276,大壯,7,4,1,風水,卦占風水事如何，青龍白虎兩擔宜，玄武朱雀局分明，代代兒孫平安過，卦占塚墓事如何，山向東西乃可過，產近山林多擇穴，兒孫後代中高科
277,渙,8,5,6,風水,君占風水只平安，世應相生萬事成，乘龍伏虎多回顧，後代兒孫產俊英，世應相生萬事成，君占風水只平安，回願龍虎伏生多，兒孫俊英後代賢
278,巽風,1,5,5,修宅,修宅建造事可為，吉課選時萬事吉，修後財源勝從前，任君造作不須疑，數占起造許君為，日吉時良萬事宜，起後財源還許勝，不須疑君勿造作
279,離火,2,3,3,修宅,君問卜修宅而來，建造房宅有吉凶，需貴人指點避凶，雞鳴得助大吉祥，君因起造來問卜，豎柱上樑有吉宿，君因起造占今卦，數鳴遇雞任君架
280,坤地,3,8,8,修宅,卦占修宅最為宜，起造逢之利六親，雖是眼前多耗財，臨門財喜後多饒，卦象占來最為高，起造逢之利六爻，雖是眼前多耗散，臨門財喜後多饒
281,兌澤,4,2,2,修宅,修宅占之多利益，吉神降臨最為吉，春秋二季多可為，如逢冬夏最不吉，世應相和最為吉，起造占之多利益，春秋二季任君為，如逢冬夏不為吉
282,乾天,5,1,1,修宅,修宅占之福德饒，吉星財富最為奇，興家立業從今起，富貴榮華日後見，起造占之福德饒，八純乾卦最為高，興家立業從今起，富貴榮華在後招
283,艮山,7,7,7,修宅,修宅建房不必忙，要請地神來商量，宅主認為財夠旺，也要平安又久長，起造居占不必忙，存神用意快商量，六爻安靜財雖旺，必取平安並久長
284,震雷,8,4,4,修宅,君占修建固非宜，修後須知見是非，凡是三思方是美，最好守舊莫心疑，訴訟公庭得順情，文書官鬼兩分明，三思後行是美德，守舊平安最逢時
285,坎水,6,6,6,修宅,起造宅房百事宜，家丁財利多興旺，吉時無破任君為，吉祥康寧君來取，起超占之百世諧，世爻無破任君為，田園六畜多興旺，任意作為不必疑
286,遯,4,1,7,借財,卦占借取要相宜，卻憂官鬼兩見之，三分財氣可應許，目下相求事可知，官鬼妻財兩見之，問人借取得相宜，三分財氣可應許，目下相求事可知
287,屯,5,6,4,借財,問卜借取定便宜，雙方願意借貸物，求謀遂意無攔阻，貴人絕為喜可期，官鬼妻財兩見之，問人借取定便宜，求謀遂意無攔阻，一任施為喜可期
288,睽,1,3,2,借財,借錢財占卦困難，財空怨債不多疑，亥子庚辛於秋冬，貴人解可發財鄉，財銀借取問神明，托保求之亦可成，亥子庚辛財發動，目前不遂莫生嗔
