Number,Serial,TITLE,CONTENT
156,344,六甲,六甲臨卦占孕產，憂慮重重有虛驚，十月之間寅午利，行善祈福保安寧，六爻臨卦占孕畜，財鬼重重有虛驚，十月之間寅午利，也須作福保平安
157,345,交易,交易占之不為奇，財利事上可依卦，春夏之間大吉利，秋冬交易事不宜，財爻上卦不為奇，交易占之是可依，吉利新 春仲夏間，不宜秋冬總要守
158,346,尋人,君問尋人信難通，不見人形音訊無，人在東南得飽暖，遲遲方許會相逢，文書不見信難通，君問尋人也應空，人在東南得飽暖，方許相逢有延遲
159,347,陞遷,陞遷之卦最為吉，官星財星兩庭旺，辰戌丑未好佳音，陞遷上榜喜事臨，升遷之卦最為高，官鬼文書兩相交，中土座丑未戍辰，芳名著冊在銓曹
160,348,婚姻,占卜婚姻不為宜，小人對沖難溝通，先後緣份不周全，貴人造緣感情足，求婚占之不為宜，財祿逢沖事不齊，猶恐媒人不得力，又兼旁人搬是非
161,351,徵人,徵人員工事得當，官鬼安靜喜相生，不必多疑速決定，遲了又恐事難成，六爻安靜辰星旺，討僕添丁事的當，不必多疑須作速，遲遲又恐尚遲遲
162,352,選舉,中央選舉難成就，官鬼休咎未得宜，今歲未能勝選舉，來春方許順心意，財爻臨應破文書，官鬼休咎是未宜，今歲未能捐納吏，來春方許遂心機
163,353,告狀,告狀占之枉勞心，所告案件不順情，訴狀證詞不夠力，小人證詞上法庭，告狀占之枉勞心，欲告須知不順情，財破文書官鬼付，不如休息免災星
164,354,官運,官運最忌劫財星，目下應知難稱心，財破官暗先忍住，待交冬令官可臨，求官最忌弟兄興，目下應知未稱心，財破文書官鬼滅，滅交冬令始臨民
165,355,上司,上司得貴喜盈盈，工作進宮可順心，跟對上司從此榮，那時得濟家庭富，世高應下喜盈盈，欲進衙門喜稱心，勞速生育從此長，那時得濟造家庭
166,356,音信,音訊重重喜見之，上天相助有文書，亥子丑到音信到，不需愁悶其人知，弟兄持世有文書，家信重重喜見之，亥子未交家信至，不須愁悶其人知
167,357,置產,占買田園大吉昌，福神降臨買田產，地好種植多財利，喜逢貴人把心安，福神持世守田產，占買田園大吉昌，應位逢財多利益，喜逢中證好商量
168,358,買貨,買貨來占必稱心，財星福神兩星明，出入財源三五倍，財路平坦不受驚，文書官鬼兩分明，置貨來占必稱心，出入財源三五倍，路行平坦不受驚
169,361,子病,小兒有病何日祥，內外陰公兩得礙，要逢申酉方除厄，華陀在世得吉昌，天花兒郎何日強，子孫持世卻無妨，要逢申酉方除厄，一服仙方便吉昌
170,362,求職,若問求職有困難，意氣相投方可成，夏秋二季較難順，直到冬春方可全，若問謀事都作難，義氣相投方可參，夏秋二季休提起，直到冬春方可全
171,363,親病,疾病纏身父母親，官鬼相應有精神，庚辛戊己災星退，內陰公祈保安臨，疾病纏綿父母身，鬼爻相應有精神，庚辛戊己災星退，作福祈神保安寧
172,364,分家,目前分家有是非，暫時守舊有便宜，內外小人添麻煩，消除貪念免被欺，此卦分家有是非，豈知守舊得便宜，應高世下多煩惱，且自忍耐免被欺
173,365,身體,君身體疾病何妨，內外陰煞星辰見，造福祈神陰煞退，庚申方可見安氣，君占疾病有何妨，輕重星辰相見傷，作福祈神三煞退，庚申方許見安康
174,366,洽約,君問洽約有妨礙，事未相投不要忙，再逢官鬼來剋動，寅申已亥再嘗試，君來問會卦無妨，事未相投不要忙，再忌土煞來克動，寅申巳亥百事昌
175,367,移居,卦問移居事可為，家宅生我福神齊，日後讒言休要聽，移居之後福祿臨，卦問移居事可為，應爻生世福神齊，目下讒言休要聽，移居之後有歸依
176,368,買屋,占卜買屋不順心，此屋吉凶有差遲，安心守舊休輕舉，切莫胡為惹是非，此卦多凶不順宜，須知買屋有差池，安心守舊休輕舉，切莫胡為惹是非
177,371,公職,公職考試破官星，官運休囚總不濟，公考成績又如何，營謀他業步雲梯，財爻持世破文章，官鬼休愁總不如，科舉占之終未穩，營謀斷許步雲梯
178,372,學業,學業運佳恩臨身，學業相生文昌明，得文昌星位作養，年逢水火得揚名，讀書又許恩臨身，印綬相生得稱心，選入芹宮蒙作養，年逢水火得揚名
179,373,取討,欲作討取不用疑，官鬼上卦最有利，當在目下須做速，遲遲又恐不得濟，財初上卦最為奇，欲去取討不必疑，即在目下須作速，遲遲又恐不得奇
180,374,運途,運途得失由天命，吉凶窮通總在天，命運善果慢收成，晚年榮貴勝中年，榮枯得失皆由命，壽夭窮通總在天，欲蔔五行休息事，晚年命運勝中年
181,375,求醫,求醫無效且慢醫，病魔纏身有蹊蹺，淹淹疾病遲遲癒，去求神醫無神藥，醫藥無蹤且慢醫，鬼臨世位有蹊蹺，淹淹疾病遲遲愈，求來神藥不扶持
182,376,考運,考運文昌升學堂，績優如花滿庭香，平日苦讀有代價，魁星踢斗射星光，恩成士業已升堂，選入芹宮姓氏香，小試公庭求薦拔，文書端的射星光
183,377,貴人,問卜貴人難許得，庚辛申酉官鬼臨，久延問貴貴難求，及時造福貴必得，問卜天晴難許晴，庚辛卯午更傾盆，久晴問雨難求雨，久雨問晴未必晴
184,378,姻緣,姻緣占之緣最佳，官財子祿定不差，將來可婚成家計，夫唱婦隨實可佳，招婿占之事更佳，妻財子祿實堪誇，將來得此成家計，數蔔先天定不差
185,381,訴狀,訴狀答辯要文書，被告占之百事宜，自有貴人來相助，貴助庭外笑嘻嘻，鬼卜書辯耍文書，名利占之百事宜，自有貴人提拔去，當官訴辯笑嘻嘻
186,382,飼養,飼養事業未為良，損失養物大不祥，幸得吉神來剋煞，平平利益也尋常，鬼爻持世未為良，損失春蠶不大強，幸遇子孫來克鬼，平平利益也尋常
187,383,收帳,收帳錢財遇貴人，吉神臨門喜盈盈，路途驚恐雖然有，祿馬扶持保太平，收解錢糧遇貴人，子孫臨印喜盈盈，口途驚恐雖然有，祿馬扶持保太平
188,384,生意,占卦生意事不成，三番四復枉勞神，直待秋深冬到日，日日隨心必然成，占卦生意事不成，三番四複枉勞神，直待秋深冬到日，隨心方許必然成
189,385,文件,占領文書應會有，曰期應在亥子丑，貴人得力喜相生，管取文書來到手，佔領文書須便有，日期應在亥子丑，貴人得力喜相生，管取文書來到手
190,386,見貴,貴工作諸事難君，占長官未及昌選，定亥卯方和合過，此方知空自忙，世克應爻諸事難，君占見貴苦心煩，必交亥卯方和合，遇此方知空白忙
191,387,脫貨,卦占脫貨心著急，貴客支持吉利招，買賣應期亥子期，百謀皆順永無勞，卦占脫貨心為高，貴客支持吉利招，要脫應期亥子日，百謀皆遂永無勞
192,388,修宅,卦占修宅最為宜，起造逢之利六親，雖是眼前多耗財，臨門財喜後多饒，卦象占來最為高，起造逢之利六爻，雖是眼前多耗散，臨門財喜後多饒
193,411,買畜,買畜買牛生財源，此卦占之許順心，福德相助財甚旺，牲畜牛馬事宜成，買牛買馬作耕乘，此卦占之遂許心，世應兩生財甚旺，桴牛騾馬事宜成
194,412,回鄉,君問回鄉許順心，多增伴侶來作陪，認識貴人有助力，順風平安到家回，君問回鄉許遂情，只因伴侶有娥增，率有貴人有助力，管教穩步到家庭
195,413,風水,祖先風水官鬼臨，有水無風意不寧，雖有財氣不藏聚，人丁難安利平平，祖宗墳墓鬼爻臨，有水無風意不寧，雖有財星不藏聚，人丁可許利平平
196,414,求財,占卦求財終有望，財神雙利兩重財，若逢三七十數內，自然方順稱君懷，無妄求財終有望，世高應下雨重財，若逢三七十數內，自然方遂君心懷
197,415,放賬,求占放款不為奇，三思再想不可為，若是春間還有利，夏秋冬季有是非，求占放帳不為奇，三思再思不可為，若是春間還有利，夏秋冬季有是非
198,416,賭博,卜卦賭傅好賭錢，官鬼剋我不須猜，輸贏無法可定位，辰午之日白手來，蔔數占之好賭錢，應來生事不須猜，東西定位無心選，辰午之時白手來
199,417,借取,卦占借取要相宜，卻憂官鬼兩見之，三分財氣可應許，目下相求事可知，官鬼妻財兩見之，問人借取得相宜，三分財氣可應許，目下相求事可知
200,418,開店,君問開店事可為，店中經營沒是非，四季不如春季好，順心財喜事相圓，君問開店事可為，爻中經營沒是非，四季不如春季好，遂心財喜事相宜
201,421,飼養,卦占飼養意如何，官鬼降臨損傷多，成本增加利平平，切莫貪多要斟酌，君問春蠶意若何，鬼爻臨位損傷多，誠心祈禱平平利，切勿貪多更損和
202,422,修宅,修宅占之多利益，吉神降臨最為吉，春秋二季多可為，如逢冬夏最不吉，世應相和最為吉，起造占之多利益，春秋二季任君為，如逢冬夏不為吉
203,423,文件,問卜文件為批文，官貴重重即日臨，兩處貴人相得利，依然逐志笑顏開，人來問卜為批文，官鬼重重即日臨，兩處貴人多得利，依然遂志笑顏開
204,424,脫貨,卦占脫貨利為高，妻財重重卦重現，兩位貴人相助力，出門交易利多饒，數占脫貨甚為高，官鬼重重便見爻，兩貴人來相助力，出門交易利多饒
205,425,生意,卦中生意可經營，財利豐厚可順心，忙裡偷閒尋快樂，勝過他年十倍金，數中生意要經營，此卦占之得遂心，忙裏偷閒尋歡樂，勝過他年十倍金
206,426,訴狀,卦占訴狀不知情，暗處投明未必明，遇到寅申已亥日，貴人化解得相生，數中訴辯不知情，暗處投明未必明，待到寅申巳亥日，文書發動笑相生
207,427,見貴,見貴占之確有緣，他來生我我相生，重重提拔多吉利，情意相投利益多，見喜占之卻有緣，應來生世世相生，重重薦拔多吉利，情意相投笑語喧
208,428,收帳,收帳錢財事有驚，還防五鬼有相爭，如逢冬季平平過，若待春時定有刑，收解錢糧事有驚，還防雀角有相爭，如逢冬季平平過，若待春時定有刑
209,431,選舉,中央選舉重文宣，選舉占之不得宜，今年參選嫌太快，來年喜得姓名題，數占此卦兩文書，納吏占之也覺遲，今歲爻辭唯欠快，來年或把姓名題
210,432,買貨,君占買貨少如心，財位逢傷恐不成，縱成依然無大利，不如守己免勞心，君縱置貨少如心，世位逢傷恐不成，占使成之無大利，不如守己免勞心
211,433,工作,工作跟官樂欣欣，工作用心官貴人，官鬼遇貴多如意，以後成事利益深，欲進衙門近貴人，跟官無數樂欣欣，逢沖遇鬼多如意，已後成家利益身
212,434,罝產,置產種植卦為奇，福德星臨少是非，種豆得豆多利益，風調雨順財富歸，置田占此卦為奇，福德星臨少是非，非糧差輕多利益，勸君早就莫遲遲
213,435,官運,官運占此卦為奇，官鬼印星兩見之，木腳草頭人動力，夏秋兩季心意成，求官占此卦為奇，官鬼文書兩見之，木腳草頭人動力，夏秋兩季遂心機
214,436,徵人,徵人員工正得緣，求得正才亦美哉，不論招傭並討才，勞資雙方有和諧，卦占未濟兩重財，進口添丁亦美哉，不論招奴並討僕，定知日後有和諧
215,437,音信,音信深藏大有疑，親朋傳信未得宜，夏秋方許知端倪，當下忍耐莫心急，家信深藏大有疑，親朋傳信未為宜，夏秋方許知端的，目下還當忍耐些
216,438,告狀,卦占詞訟順君心，告狀逢官不用驚，不必憂疑多進退，貴人得力有扶持，卦占詞訟遂君心，告狀逢官不吃驚，不必憂疑多進退，貴人得力有扶持
217,441,學業,學業文昌來生世，讀書成就實無礙，占來定許業成就，木火之年顯家門，鬼應文書來應位，讀書成就實無疑，占來定許業成就，木火之年折桂枝
218,442,姻緣,卦占姻緣未堪誇，欲結婚內陰公磚，若是今愛勉強結，日後方知有怨言，卦占歸妹未堪誇，欲占招婿有參差，若是今日圖容易，久後方知有怨嗟
219,443,求醫,求卜醫病病無妨，可有靈丹及藥良，內外陰神礙始信，寅申已亥保安康，醫來克病病無妨，可有靈丹即便良，始信仙傳醫國手，寅申巳亥保安康
220,444,貴人,君問貴人間淋漓，天道陰陽沒定期，到底少知多貴人，時逢三七九可知，人間終日雨淋漓，天道陰陽沒定期，到底雨多晴日少，時逢三七九可除
221,445,運途,運途窮通不必疑，貴人無奈運未轉，十年好運才興起，家富人康百事為，君問窮通不必疑，將來造化卻何如，十年好運才行起，家富人康百事為
222,446,公職,公職考試不如意，高考不宜破星君，雖是貴人無阻隔，卻因他年步青雲，妻財持世克文書，科舉占之事不如，雖是入場無阻隔，只因當道有堪虞
223,447,考運,考運占之可稱心，貴人扶助必超群，行遠登高從此起，他年還許步青雲，妻財持世必超群，入學占之遂稱心，行遠登高從此起，他年還許步青雲
224,448,取討,取討資財兩見之，只宜急速不移遲，三分財氣時方許，七分財氣需貴人，取討資財兩見之，只宜急速不宜遲，三分財氣時方許，七分財氣尚遲遲
225,451,選舉,地方選舉不如情，是非重重事不寧，財旺升官終有望，不宜急迫且稍停，君占納監不如情，官鬼重重卦不寧，財旺生官中有望，不宜急迫且稍停
226,452,婚姻,占婚姻緣十分宜，貴人相助天已定，財喜重重多福壽，早早聯姻莫遲疑，求婚占此十分宜，二姓交孚兩得之，財喜重重多福壽，早當成就莫遲延
227,453,交易,生意占之事可為，成交之後有差疑，貴人顯星終可平，等待春時便可成，交易占之事可為，成交之後有差疑，六爻無鬼終須就，若在春時更可奇
228,454,陞遷,陞遷官鬼不分明，財動生官事可為，當道有情求助力，冬初秋底可明朗，六爻官鬼有分明，財動生官事可憑，當道有情求助力，冬初秋底有殊恩
229,455,六甲,六甲平安兩無礙，子孫旺相助妻財，寅午戌到佳音至，平安孕育保無災，子孫旺相助妻財，子母夫妻兩得諧，寅子戌爻音信至，平安孕育保無災
230,456,尋人,娶妻占之卦伏藏，妻財不見子孫傷，官鬼神裏顛倒行，造緣免受話長短，取妾占之卦伏藏，妻財不見子孫傷，綠衣黃裏休顛倒，免被旁人話短長
231,457,娶妻,尋人何必苦追尋，消息雖真不得知，只恐旁人來做誤，虛心實意枉奔程，尋人何必苦追尋，消息雖真不得知，只恐旁人來做鬼，虛心實意枉奔忙
232,458,調解,欲占調解稱君心，兩方和事就可成，唯有官鬼來作恐，喜逢主事要和合，欲占和事稱君心，世應相生事可成，只恐一人來做鬼，喜逢原被要和平
233,461,合夥,合夥經營事可為，目前已知無大利，貴人來臨喜財神，遲遲財喜自相宜，子孫持世最為宜，合夥經營事可期，目下雖知無大利，遲遲財喜自相宜
234,462,走失,君問卜走失之事，旁人擾惑出家門，事當節制多不疑，順順追尋猶可獲，走失家人來問卜，事當節但多不作，旁人啜哄出家門，遂遂追尋尤可捉
235,463,學藝,君占學藝要勞心，若得勞心事可成，秋初冬末多獲利，夏春財利略平平，君占手藝要勞心，若要勞心事可成，冬末秋初多獲利，夏春財喜略平平
236,464,壽年,問卜壽年可長久，乃是南山松竹友，一生心地皆無差，速造福延年益壽，君問壽年可長久，乃是南山松竹友，一生心地皆無差，兒孫對對福祿官
237,465,行人,君來占卜問行人，官鬼持世有信音，叔伯弟兄應亥子，子孫半僕在寅申，君來占卜問行人，黃犬青鸞有信音，叔伯弟兄應亥子，子孫伴僕在寅申
238,466,護送,護送問占有虛驚，行到中途要小心，春夏兩季無大礙，秋冬定占有刑傷，解人略忌有虛驚，行到中途要小心，春夏占之無大害，秋冬定佔有傷刑
239,467,家宅,家宅平平有是非，放心到底莫相疑，福神得力何須卜，秋季年冬利有期，家宅平平少是非，放心到底莫相宜，福神得力何須蔔，秋季年冬利有期
240,468,失物,失物之人枉自尋，賊星旺卦莫思量，失財遭竊休生怨，財去人安百世吉，失物之人枉自尋，賊人上卦莫思量，財當召見休生怨，財去人安百事昌
241,471,求職,求職占之大吉昌，官鬼持世小人防，時逢春夏多剝雜，定在秋冬財見高，謀事占之大吉昌，鬼爻持世小人防，時逢春夏多剝離，定在秋冬財見高
242,472,買屋,買屋占卜為可宜，久積錢財買屋居，成家立業多財利，旺發人丁百世居，久積青蚨買屋局，知君占宅數為宜，成家立業多財利，旺發人丁百世居
243,473,身體,身體占之宜保身，傷寒病痛總難期，內外陰煞貴人解，全仗貴人早日康，病犯星辰宜保之，傷寒時熱總難期，平安藥餌多多服，全仗神藥有扶持
244,474,移居,卜問移居事可為，卦中無鬼莫延移，福神到臨財星旺，以後方知利益興，若問移居事可為，六爻無鬼沿之遲，妻財持世財星旺，以後應知利益興
245,475,分家,分家占之此為凶，官鬼持世莫徒勞，經營雖小應有利，若是分家有禍招，分家占逢此卦爻，鬼爻持世莫徒勞，經營些小應收利，若是分家有禍招
246,476,子病,君來占卜問病症，內陰公礙定不差，縱有風波無浪起，吉星拱照萬事昌，君來占卜問天花，福德隨身定不差，縱有風波無浪起，吉星拱照喜哈哈
247,477,洽約,洽約來占不須憂，貴人扶持必無愁，日逢已午自成就，戊戌庚申可預期，會事來占不用憂，福神拱照必無愁，日逢巳午方成就，戊戌寅申可遇頭
248,478,親病,君占親病事如何，病到臨危又復生，日逢已午痊癒好，祈福無災平安樂，子占親病事如何，病到臨危又複生，日逢巳午全愈好，從此無災過有秋
249,481,求子,卦占求子可順心，否極終須有泰來，陰陽無破終須有，造福求神產貴胎，否極終須有泰來，數占求子遂心懷，六爻無破終須有，求神作喜產貴胎
250,482,桃花,桃花須知運氣高，欲佔異性釣如鰲，幸得福緣重重臨，東成西就樂陶陶，取魚須知志氣高，欲占長川釣巨鼇，幸得福神重重卦，東成西就樂滔滔
251,483,同居,同居情緣事可為，福臨門庭自有排，只嫌卦內姻緣稀，速造桃花子結果，贅婿求婚事可為，財臨應位有歸依，只嫌卦內文書照，花則多移子結稀
252,484,收成,卜收成不得天時，時運不濟財利稀，早禾不如晚禾好，他日方計好收成，種田難許大收成，雨少晴多雨不均，早禾不如晚禾好，他時方信卦通靈
253,485,夜夢,夜夢顛倒不必憂，只因多利在心頭，紛紛人事難同願，待到春來始得求，夜夢顛倒不必憂，只因多利在心頭，紛紛人事難同願，待到春來始遂求
254,486,口舌,口舌是非也需防，小人終須有一場，凡事休強須退步，且饒饒人最為良，是非口舌也須防，破好終須有一場，凡事休強須退步，饒人一著最為良
255,487,住宿,知君住宿有定奪，住宿己經有安排，吉神臨身可安逸，賓至如歸似錦羅，父母重重舉薦多，知君求館問如何，子孫持世多財力，賓主相投似錦羅
256,488,出行,出行君來問此卦，防意外麻煩虛驚，汪然跋涉費心機，勞苦奔走無事成，此卦君來問出行，鬼爻持世有虛驚，徒然跋涉無些利，奔走勞勞枉費心
257,511,修宅,修宅占之福德饒，吉星財富最為奇，興家立業從今起，富貴榮華日後見，起造占之福德饒，八純幹卦最為高，興家立業從今起，富貴榮華在後招
258,512,收帳,收帳占卜無是非，吉神來臨有扶持，有驚無險免猜疑，財利'雙全歡喜歸，子孫持世有扶持，問解錢糧無是非，驚恐有些無大害，完官得意喜歡歸
259,513,生意,卜問生意不必疑，官鬼凶神兩邊走，貴人扶助百事昌，目前有七分財利，官鬼文書兩字諧，若問生意不必挨，貴人應有扶持力，目下許君七分財
260,514,見貴,卦占見貴十分全，出入求榮果有緣，魚水相投多吻合，東成西就益財源，卦占見貴十分全，出入求榮果有緣，魚水相投多契合，東成西就益財源
261,515,脫貨,脫貨求財必稱心，行情價值喜相生，戊已來臨方可順，如逢寅卯且稍停，文書臨應喜相生，脫貨求財必稱心，戊己來臨方可遂，如逢寅卯且稍停
262,516,飼養,飼養牲物未為良，飼養勞苦事不祥，幸得福神來護佑，收成一半可平常，世喜應外未為良，蠶事勞勞不大強，幸得福神來上卦，收成一半可平常
263,517,訴狀,訴狀答辯不知情，勉強行之定有刑，待得秋來可分明，貴人解化莫遲疑，卦占訴辯不知情，勉強行之定有刑，待得秋來可分剖，目下忍耐莫生嗔
264,518,文件,文件世應來相生，欲領回文可順心，戊己庚辛方入手，如逢寅卯且稍停，文書應世應相生，欲領批回可稱心，戊己庚辛方入手，如逢寅卯且稍停
265,521,桃花,桃花精通可無阻，花園湖海顯高手，風平浪靜福自來，順心如意偶成雙，取魚精通可立身，釣船湖海顯高明，自強不息工夫妙，到手隨身利益增
266,522,出行,出行占卜有差訛，時機不對難相和，秋冬之季才順心，春夏之時憂慮多，此卦應世不比和，出行還記有差訛，秋冬之後才順利，春夏之時憂慮多
267,523,夜夢,夜夢顛倒不必憂，五鬼劫財意外災，一時謹慎無煩惱，貴人自在得清閒，官鬼妻財兩事周，蒙魂顛倒不須憂，一時謹慎無煩惱，困守清貧可自由
268,524,住宿,住宿占卜夜空忙，官鬼運逢人為良，莫聽旁言快換房，值待黎明再主張，世應守空未為良，君來占館莫空忙，勸君莫聽旁人語，直待年末再主張
269,525,收成,卜問收成實美哉，豐富收成雙重財，一分耕耘三分收，豐年財利順無災，澤風大過兩重財，若問收成實美哉，旱少雨多禾稻穩，高低兩處並無災
270,526,求子,求子無子命中招，目前要求難順意，內外陰公風水礙，等待貴人栽仙桃，子遲子早命中招，且自安心不用焦，目下有求難遂意，海中高樹有仙桃
271,527,口舌,口舌難免不為凶，有驚官鬼在其中，有水無風總是空，自然消散得合和，是非雖有不為凶，有水無風總是空，只管安心休畏懼，自然消散得和同
272,528,同居,同居占之喜氣濃，妻財子孫兩星榮，他年管教成家業，少婦齊眉直到終，入贅占之喜氣濃，財逢妻子兩星榮，他年管教得家業，少婦齊眉直到終
273,531,婚姻,官鬼婚姻未相諧，雙方多有刑相剋，他年秋冬另有緣，貴人造緣婚姻祥，鬼臨世位克妻財，若問求婚事未諧，須到秋冬另有急，自有好緣遂心懷
274,532,調解,調解占之不吉祥，多重意見難和解，如在冬季順心意，若在春秋有刑傷，和事占之不吉祥，弟兄持世難商量，交冬方得遂心意，若在春秋有刑傷
275,533,六甲,六甲生產多喜氣，子孫重重子楝樑，母子俱安無足慮，貴神護佑得安寧，子孫持世子星明，孕產多應喜氣生，母子俱安無足慮，數中保汝得安寧
276,534,尋人,尋人卜問要貴人，亥子丑日音訊明，不必憂心空猜疑，自然平安返家庭，應來生世問尋人，子丑亥日定有因，不必憂心空費力，遲遲自得返家庭
277,535,陞遷,君卜陞遷問此卦，怎奈文書不周全，冬令貴人來扶助，管夏秋猶恐遲延，君占此卦問升遷，怎奈文書爻不全，冬令喜神多失幹，夏秋猶恐有遲延
278,536,選舉,地方選舉不為奇，君占選舉不利己，雖然目下難順意，管教秋冬願可期，未濟之中終有濟，君占納妾不為奇，雖然目下難遂意，管教秋冬願可期
279,537,娶妻,娶妻只貪美貌才，婚後只恐不和諧，不如貴人造此緣，自有姻緣自然久，取妾原貪美貌才，到家只恐不和諧，不如丟過遲已娶，自有佳人送子來
280,538,交易,交易占之最為吉，買賣認同可成交，若得利在秋季明，相生相利財利昌，交易占之屯卦爻，應來生世許成交，若占利源秋季旺，百世相生福祿昌
281,541,買屋,買屋占之事可依，只宜速置不疑遲，春秋恐被旁人奪，夏季置產必定宜，買屋占之事可依，只宜速置不宜遲，春秋恐被旁人奪，夏季占之必定宜
282,542,親病,親病內陰佔不吉，造福消業或可延，年逢七九休歡喜，兼收妙計始無疑，父母得病把卦占，許福求神或可延，年逢七九休歡喜，兼收妙計始無尤
283,543,分家,現在分家順有成，自然得利不須愁，福神相助臨門來，財利滔滔無怨尤，應識分家後有收，自然得利不須愁，福神旺相臨門戶，財利滔滔無怨尤
284,544,洽約,洽約不安事有然，福神不來事難全，但是目前難兩全，多方祈求共相連，福神不遂事難全，同會不安事有然，但是目前難就急，可交同氣共相連
285,545,移居,卦問移居可稱心，不移當然是非生，吉星應在東南位，家業田園百事亨，欲問移居許稱心，不移當有是非生，吉星應在東南位，家業田園百事亨
286,546,求職,卦占求職有蹊蹺，義氣相投才可交，若能誠心臨門戶，寬心財利曰日招，卦占謀事甚蹊蹺，義氣相投財可交，若能遂意臨門戶，管教財利日日招
287,547,子病,君占子病有吉凶，內陰災星臨門戶，非神保佑難治療，行善發願祈仙翁，君占子喜可吉凶，乃是災星臨命宮，非神保佑難為力，猶宜急禱祈神仙
288,548,身體,君占身體是無妨，福德天醫不吉祥，求神發願並造福，遲遲方許得安康，君占疾病事無妨，福德天醫不順祥，可去求神並作福，遲遲方許得安康
289,551,姻緣,姻緣未現枉費心，月老無力救有情，姻緣應在貴人臨，但請官鬼放太平，招婿占之枉費心，子孫受克已無情，若還應重龍子選，方許成家立太平
290,552,討取,占問討取事可成，從今財物自然增，求謀順意無攔阻，申子辰日見祥正，占問討取事遂心，從今財物自然增，求謀遂意無攔阻，申子辰日見祥正
291,553,運途,運途好壞天注定，眼前造化巳非常，貴人積德兩相助，子子孫孫福祿長，命運何須說細詳，眼前造化已非常，再能積德行方便，子子孫孫福祿長
292,554,考運,卦占考運喜非常，入學考試定有名，貴星臨門皆得力，管教拔選棟樑才，應來生世喜非常，入學占之定有功，上下貴人皆得力，管教拔選入黌宮
293,555,貴人,占問貴人力不從，東南東方有貴尋，若還問貴寅申見，貴多貴少卦有靈，欲問天晴天不晴，東南方上有青雲，若還問雨寅申見，雨少晴多卦有靈
294,556,學業,卦占學業力平常，文昌降臨仍可行，讀書靠己勤學進，學業才高自顯明，世應重重兄弟存，子孫臨應可施行，讀書修己工夫進，學業才高自顯明
295,557,公職,公職考試文書破，官運科舉不如前，子午之年使得力，今日休問貴高低，子孫宮被文書破，科舉占之恐不如，子午之年始得力，今日休問貴高低
296,558,求醫,求醫卦問藥無助，健康平平病不凶，源源福來自然癒，造福廷年益壽長，迎醫行世兩利同，柔位平平病不凶，觀我終身君子道，須知不藥自然通
297,561,回鄉,君占此卦要回鄉，路途遂遙有損傷，若在秋冬莫妄動，夏春兩季也平常，君占此卦要回鄉，程途迢遙有損傷，若在秋冬莫妄動，夏春二季也平常
298,562,開店,卦占開店不從心，勉強開之必有驚，若是不聽切莫勸，知財難收名難成，卦占開田不從心，勉強開之必有驚，若是不開切莫勸，須知貪戀少收成
299,563,放賬,放帳占之必有收，財官鬼變主憂愁，活鬼旺動小人昌，算本還頭莫妄求，放帳占之必有收，財爻鬼變主憂愁，弟兄兩見財無旺，算本還頭莫妄求
300,564,借取,問卜借取定便宜，雙方願意借貸物，求謀遂意無攔阻，貴人絕為喜可期，官鬼妻財兩見之，問人借取定便宜，求謀遂意無攔阻，一任施為喜可期
301,565,求財,求財喜得貴人強，財神臨門大吉昌，但是目前防有阻，遲遲方許遂心意，求財喜得貴人強，世應相收大吉昌，但是目前防有阻，遲遲方許遂心腸
302,566,買畜,君占買畜未為好，如已經營莫貪疑，若妄買進恐失利，還防走失不周全，販賣六畜未為好，且有經營莫枉幹，若枉買時恐失利，還防走失不周全
303,567,賭博,賭博占之許稱心，官鬼生我喜財益，時逢亥子財星旺，一擲金錢得萬利，賭博占之許稱心，應來生世喜相生，時逢亥子財星旺，一擲金錢得萬文
304,568,風水,君問風水事非宜，前有空嶇後有崎，辰已乾龍方算美，其餘山向不為奇，君占風水事非宜，前有空嶇後有崎，辰巳乾龍方算美，其餘山向不為奇
305,571,走失,卦卜走失不必尋，吉神未現枉勞神，東南方位相安樂，細訪從容報佳音，逃去家人不必尋，子孫未顯枉勞神，東南方上相安樂，細訪從容報好音
306,572,失物,失財失物不須忙，尋物往東東南南，已亥有人傳消息，甲戊庚日見正詳，失財失物不須忙，躲在東南水井旁，巳亥有人傳消息，甲戊辰日見正祥
307,573,行人,君占此卦問行人，人在他方身未動，不但不是無消息，須防冬令有虛驚，君占此卦問行人，人在他方未轉身，不歸來時無利息，還防冬上有虛驚
308,574,家宅,家宅平安福壽長，官鬼不現信無妨，安康平利長久見，人丁顯達家門揚，家宅平安福壽長，鬼爻官克信無妨，三分利息秋冬見，春夏占之更喜揚
309,575,壽年,壽年問卜用心機，平生勞綠早年刑，身弱病纏免憂心，老景豐食壽元足，平生勞碌用心機，早年刑克可相期，老景豐衣可足食，壽年八十內外傳
310,576,合夥,合夥占之百事亨，財神臨門兩見利，財旺人和多喜事，誠信合作百利昌，子孫持世卦為親，合夥占之百事亨，財旺人和多喜色，管教日後好收成
311,577,護送,護送占之主和諧，雖是奔波可放懷，只恐纏綿延歲月，交待事滿貴人來，解人占之主和諧，雖是奔波可放懷，只恐纏綿延歲月，交還便得貴人來
312,578,學藝,學藝高成可發揚，雖是勞心又勞力，貴人臨門卦為昌，一年四季利汪洋，子孫持世卦為昌，手藝高成可發揚，雖是勞心並勞力，一年四季利汪洋
